id,text
2114,"1. Shaggy- 😍😍😍😍😍😍😍

2. OMG, LOOK AT SCOOBY!!!!! 😭😭😭🥹"
2126,"I don’t think the wangxian charms are at a quality I’d want to sell them at 🥹💔

But!!! That’s okay!!! That’s what happens when you’re trying something out! It doesn’t always work out the way you want it to! 
The first step to being good at something is sucking at it!"
219,Seeing next week in Hershey Park with my mom for her 65th birthday! We are very excited 🥹❤️
2208,It’s a small dream coming true 😭💓in our  last two apartments i didn’t have my own space now it’s finally possible 🥹✨
2397,Hayibo how old are you Dr?  🥹
2632,His side profile is so pretty and his little mole 🥹
2736,You did really great. I am so happy that I was able to finally see you in person 🥹
2835,Just saw the last two lines of the second verse for ‘To God be the glory’ and mehn!!! 🥹
2841,i’m finally watching lilo and stitch again 🥹 it’s been soooo long since i’ve seen this movie
2861,"thANK YOUUUU 🥹💕
im here for HER 🫡💚"
2877,"THANK YOU 😭
They deserve that support 🥹"
3217,We need more BP stuff! 🥹
3274,🥹 one of my favs 💕
3653,Aww this made me tear up!! 🥹 adorable!!
3663,STILL HERE 🥹
3764,The first year I’ve really fallen in love with my curly hair 🥹 it’s a very big deal for me 🫶🏽
384,No mucho Jajaja. Pero entiendo y leo español okay. Well I certainly understand a lot more than 4 years ago but if someone speaks Spanish fast to me I fail 🥹
3841,the fact that I ALWAYS get those insane butterflies in my stomach and that I can clearly feel my heart beating faster than usual whenever I see is kinda depressing because you know she is just another unreachable celebrity crush but omg I love her SO much 🥹❤️
4063,"It would be such a beautiful thing to see, seeing UkYeong in normal things like cooking, shopping with her kids, eating, or celebrating their birthdays, AA is something I would really love to see 🥹"
4243,the best & worst feeling is discovering a new track that comes back w/ no id 🥹
4390,This is SO CUTE 😭😭😭😭😭😭😭😭💗💗💗💗💗✨✨✨✨✨✨ I love it sm!!!! Looks just like you if you were a cartoon 🥹
4671,We live in timeの撮影であんどるが持ってるトートバッグのお店特定しました🥹
4705,If you decide to play join Me 🥹
4854,My auntie has no idea how much I needed that phone call. 🥹❤️
487,i really don’t know if a single song fits the definition of “catharsis” more. leaning into the hurt and ache and clinging onto the rock show because it’s what we’ve all got? 🥹
5105,Derek brought me an early birthday gift 💝 🥹
5162,mon chat 🥹
5346,The pain is just keeping me awake 🥹
5358,bb get well soon 🥹
5425,the first one!! i'm love 🥹
5513,Gangs of Lagos is so so good . I give it a 9/10 . The plot was amazing. The casting was amazing ……and Tobi bakareeeee🥹🥹I’m in love with you 🥹#GANGSOFLAGOS #GangsOfLagosOnPrime
5590,i adore the outfit you drew!! it fits zoro so well!! 🥹 thank you for sharing!! 💚💚💚
5808,4. emma and her moms 🥹
6078,i hope you reply to my dm 🥹
617,somebody give me their paramount plus account please 🥹
6210,Can’t believe I ever doubted getting these earrings 🥹. They’re perfect!
6226,The bookmarks is what kills me i'm- 🥹
6355,OMG I’M SO HONORED THANK YOU THANK YOU 🥹💗💗
