ID,Comments
120,GOOD MORNING MY ARI 🤍 WELL DESERVED
121,"I'm out of words, but so in love 🤍"
122,Claiming &amp; receiving all that is meant for me🤍
123,LET’S GO MY KING OF ANGST!!! 🤍
124,We really appreciate the feature on your timeline thank you 🤍
125,Easter was so good. Me &amp; my honey cooked all all our peoples came to the house. So much love 🤍
126,来週の予定ください🤍
127,"“the truth is its us that have to thank you all, we're very impressed &amp; feel like always dreaming, many wonderful things happen. it feels really great. thank you” – jihoon

the always grateful jihoon who never fails to acknowledge the fans!!🤍 #지훈"
128,"welcome back our bbirongie 🤍
we missed u sooooo much ㅠㅠ #Welcome_Home_YoungK"
129,"Double check your hashtags its Buae not Buea 🤍
#แฉxBuaeกันแดดชาล็อต"
130,I am so sorry to hear that 🤍 but love spending time with my dad! and I sure was happy for spieth too!!!!
131,"Don't be just an identity, be a story 🤍"
132,"Thank you Wura
Well, the truth is you are enough 🤍"
133,"madelyn cline for 🤍

"
134,"Morning hermano! Thank you so so much, for real it means a lot 🤍"
135,Another great weekend 🤍
136,"Heartbroken for the staff at the Dallas Zoo, who have already endured such a difficult year. 

Gregg’s family asks that any donations go to the zoo, or the Dian Fossey Gorilla Fund. 🤍."
137,"happiest birthday to the loml 🤍
—• here’s some of the girlfriend material photos i have in my phone, she’s such a yoja chingu •—

BLOOMING KARINA DAY 
#지민아_마이의_푸른봄은_너야 #Welcome_to_MyKarina"
138,"ily ahyeon!! happiest birthday, baby! 🤍

HAPPY AHYEON"
139,"Prepare to be disneyfied 🤍
#ShaakuntalamOnApril14"
140,luv uuu 🤍
141,[#] DOJAEJUNG MELODY OF SCENTS 🤍
142,"yes so true!  i was raised seeing wholesome, pure love between my parents,  so now i refuse to accept anything less. my mom always says find someone who loves you the way your dad loves me. 🤍"
143,Gm chief 🤍
144,Happy Birthday 🤍
145,that's so nice!!! hope you have an amazing time 🤍
146,I hope you get your acc back soon!! 🤍
147,Aw thank you omg!! 🤍
148,Thanks! You too 🤍
149,"- am happy that gelo was able to spend his holiday with his family and with gucci. i hope you had enough rest, 🤍"
150,I don’t want any drama about this situation so this will be the last thing I will say abt it hopefully people will understand 🤍 3/3
151,goodnight you did great today 🤍
152,With my fav person 🤍
153,goodnight lover 🤍 (for jisung only)
154,"Yes, i love you so much. 🤍"
155,"Thank you, nnie! That means a lot 🤍"
156,so lucky to have you 🤍
157,cereal for u 🤍
158,who's the best? SIDDY!🤍
159,happy birthday baby!!! ily 🤍
160,happy birthday baby !! 🤍
161,happy birthday to the person i love the most. i hope you have the most wonderful day today. 🤍
162,HAPPY BIRTHDAY DANIELLE!!!🤍
163,"HAPPY BDAY TO MY QUEEN!! 🤍

BLOOMING KARINA DAY
#지민아_마이의_푸른봄은_너야
#Welcome_to_MyKarina

"
164,"I love the angle from which they shot this...
She looks stunning as usual 🤍
#tejasswiprakash #TejaTroops"
165,Jealous of how amazing we are 🤍
166,"eeep first coworking stream today! i am in *crunch* time for my thesis and need to be held accountable. we'll be using the sweet super bot to stay interactive!

other than that, i'll probs be playing a lot of stardew! 🤍"
167,Smiling PCT 🤍
168,i love you so much please take care of yourself. 🤍
169,Already have a good start!!!!🤍
170,FEBRUARY BOY 🤍
171,3 tahun mengenal Bright &amp; Win 🤍 keep loving you 'til this day. see you in Thai! #MyTwitterAnniversary
172,"one year to this coups, jeonghan, mingyu arena photoshoot 🤍"
173,LOVE TO SEE IT 🤍
174,It’s time for me to stop surviving and actually live 🤍
175,"I'm going to going to sleep now, I'll make sure to reply to mentions and dms tomorrow! have a goodnight. 🤍"
176,oh today is my baby dani's bday???? happy birthday cantik 🤍
177,happy birthday pacar 🤍
178,Wow you are great also my fav love from pakistan 🤍
179,Sending you so much love and hugs!🤍
180,noo ): i’m sorry i hope one day u can reach a goal and be happy w ur body ! 🤍
181,"thanks for today bb, take a rest 🤍

LaysMax x Bright 
#LaysMaxExclusiveLiveXBright
#bbrightvc"
182,SO CUTE JAEHYUN 🤍
