ID,Comments
538,Something about the shape of those late 90s-late 00s McLaren suits (especially the shoulders) screamed superhero to me. 😍
539,Yeah that's why I bought the vinyl that will arrive in a month because I love the vinyl cover 😍
540,Or a barn owl 😍
541,Legs for days 😍😍
542,"Forgive me Lord, for I am about to Simp...

SO DAMN PRETTY! 😍"
543,Ayy just how to do a 3D braided butterfly 😍
544,Can’t begin to tell you how excited I am for Lifeweaver to join Overwatch 2 😍
545,"""who want me 😍😍😍"" The Church."
546,Razor look like a cute ass stud on this episode 😍 #BaddiesWest
547,SO TRUEEEE i have to restart today because of the stupid reindeer that hates me but im hoping i get her this time 😍
548,"ricky wasn’t even in this update at all????? cant you give us a warning or something?????? — sure! warning you right now: i keep getting comments like this, and i’ll discontinue this story and never write rina again 😍"
549,Omg! This is so cute! ILY 😍😍😍
550,Really happy to see the values of Christianity win out on this weekend of all weekends 😍
